	prevalence	gene	lifestyle
9226	1.0	gene__K03271	non-westernized
15467	0.4514285714285714	gene__K03271	non-westernized
15452	0.9701492537313433	gene__K03271	non-westernized
10115	0.9366197183098591	gene__K03271	non-westernized
10068	0.9893617021276596	gene__K03271	non-westernized
1928	0.8387096774193549	gene__K03631	westernized
1883	0.8913043478260869	gene__K03631	westernized
4260	0.7692307692307693	gene__K03631	westernized
1853	0.7763157894736842	gene__K03631	westernized
4247	0.8043478260869565	gene__K03631	westernized
5906	0.559322033898305	gene__K03631	westernized
5904	0.3563218390804598	gene__K03631	westernized
5967	0.9069767441860465	gene__K03631	westernized
6148	0.5895522388059702	gene__K03631	westernized
9243	0.0	gene__K03631	westernized
9274	0.6875	gene__K03631	westernized
1814	0.9805825242718447	gene__K03631	westernized
6191	0.7922705314009661	gene__K03631	westernized
14824	0.5714285714285714	gene__K03631	westernized
1855	0.8008982035928144	gene__K03631	westernized
14370	0.23529411764705882	gene__K03631	westernized
14773	0.20454545454545456	gene__K03631	westernized
14809	0.5991379310344828	gene__K03631	westernized
9286	0.8174157303370787	gene__K03631	westernized
9283	0.7494305239179955	gene__K03631	westernized
15452	0.4608294930875576	gene__K03631	westernized
10115	0.8354755784061697	gene__K03631	westernized
10068	0.9414225941422594	gene__K03631	westernized
1928	0.7297297297297297	gene__K03631	non-westernized
1883	0.782608695652174	gene__K03631	non-westernized
4260	0.8	gene__K03631	non-westernized
1853	0.8235294117647058	gene__K03631	non-westernized
4247	0.7884615384615384	gene__K03631	non-westernized
5906	0.36666666666666664	gene__K03631	non-westernized
5904	0.6666666666666666	gene__K03631	non-westernized
5967	0.6111111111111112	gene__K03631	non-westernized
6148	0.7101449275362319	gene__K03631	non-westernized
9243	0.2413793103448276	gene__K03631	non-westernized
9274	0.6805555555555556	gene__K03631	non-westernized
1814	1.0	gene__K03631	non-westernized
6191	0.8571428571428571	gene__K03631	non-westernized
14824	0.8823529411764706	gene__K03631	non-westernized
1855	0.8863636363636364	gene__K03631	non-westernized
14370	0.1984126984126984	gene__K03631	non-westernized
14773	0.4	gene__K03631	non-westernized
14809	0.8387096774193549	gene__K03631	non-westernized
9286	0.8777777777777778	gene__K03631	non-westernized
9283	0.6129032258064516	gene__K03631	non-westernized
15452	0.2835820895522388	gene__K03631	non-westernized
10115	0.8028169014084507	gene__K03631	non-westernized
10068	0.9468085106382979	gene__K03631	non-westernized
698	0.6	gene__K04517	westernized
4867	0.5161290322580645	gene__K04517	westernized
4868	0.5031847133757962	gene__K04517	westernized
4198	0.9662618083670715	gene__K04517	westernized
4820	0.7547892720306514	gene__K04517	westernized
8021	0.75	gene__K04517	westernized
8018	0.7333333333333333	gene__K04517	westernized
4874	0.8083832335329342	gene__K04517	westernized
8007	0.6720554272517321	gene__K04517	westernized
15249	0.8325123152709359	gene__K04517	westernized
15467	0.7435897435897436	gene__K04517	westernized
15452	0.7880184331797235	gene__K04517	westernized
698	0.9426229508196722	gene__K04517	non-westernized
4867	0.6	gene__K04517	non-westernized
4868	0.45901639344262296	gene__K04517	non-westernized
4198	1.0	gene__K04517	non-westernized
4820	0.8461538461538461	gene__K04517	non-westernized
8021	0.6	gene__K04517	non-westernized
8018	0.9	gene__K04517	non-westernized
4874	0.967741935483871	gene__K04517	non-westernized
